State,City,FAA,Airport
ARIZONA,Peach Springs,1G4,Grand Canyon West Airport
PENNSYLVANIA,Allentown,ABE,Lehigh Valley International Airport
TEXAS,Abilene,ABI,Abilene Regional Airport
NEW MEXICO,Albuquerque,ABQ,Albuquerque International Sunport
SOUTH DAKOTA,Aberdeen,ABR,Aberdeen Regional Airport
GEORGIA,Albany,ABY,Southwest Georgia Regional Airport
MASSACHUSETTS,Nantucket,ACK,Nantucket Memorial Airport
TEXAS,Waco,ACT,Waco Regional Airport
CALIFORNIA,Arcata / Eureka,ACV,Arcata Airport
NEW JERSEY,Atlantic City,ACY,Atlantic City International Airport
ALASKA,Kodiak,ADQ,Kodiak Airport
LOUISIANA,Alexandria,AEX,Alexandria International Airport
GEORGIA,Augusta,AGS,Augusta Regional Airport (Bush Field)
ALASKA,King Salmon,AKN,King Salmon Airport
NEW YORK,Albany,ALB,Albany International Airport
IOWA,Waterloo,ALO,Waterloo Regional Airport
WASHINGTON,Walla Walla,ALW,Walla Walla Regional Airport
TEXAS,Amarillo,AMA,Rick Husband Amarillo International Airport
ALASKA,Anchorage,ANC,Ted Stevens Anchorage International Airport
ALASKA,Aniak,ANI,Aniak Airport
MICHIGAN,Alpena,APN,Alpena County Regional Airport
NEW YORK,Watertown,ART,Watertown International Airport
COLORADO,Aspen,ASE,Aspen-Pitkin County Airport (Sardy Field)
GEORGIA,Atlanta,ATL,Hartsfield“Jackson Atlanta International Airport
WISCONSIN,Appleton,ATW,Appleton International Airport
TEXAS,Austin,AUS,Austin-Bergstrom International Airport
NORTH CAROLINA,Asheville,AVL,Asheville Regional Airport
PENNSYLVANIA,Wilkes-Barre / Scranton,AVP,Wilkes-Barre/Scranton International Airport
MICHIGAN,Kalamazoo / Battle Creek,AZO,Kalamazoo/Battle Creek International Airport
CONNECTICUT,Hartford,BDL,Bradley International Airport
ALASKA,Bethel,BET,Bethel Airport (also see Bethel Seaplane Base)
WASHINGTON,Seattle,BFI,King County International Airport (Boeing Field)
CALIFORNIA,Bakersfield,BFL,Meadows Field
NEW YORK,Binghamton,BGM,Greater Binghamton Airport (Edwin A. Link Field)
MAINE,Bangor,BGR,Bangor International Airport
ALABAMA,Birmingham,BHM,Birmingham“Shuttlesworth International Airport
RHODE ISLAND,Block Island / New Shoreham,BID,Block Island State Airport
MONTANA,Billings,BIL,Billings Logan International Airport
NORTH DAKOTA,Bismarck,BIS,Bismarck Municipal Airport
MINNESOTA,Bemidji,BJI,Bemidji Regional Airport
WASHINGTON,Bellingham,BLI,Bellingham International Airport
ILLINOIS,Belleville,BLV,MidAmerica St. Louis Airport / Scott Air Force Base
ILLINOIS,Bloomington / Normal,BMI,Central Illinois Regional Airport at Bloomington-Normal
TENNESSEE,Nashville,BNA,Nashville International Airport (Berry Field)
IDAHO,Boise,BOI,Boise Airport (Boise Air Terminal) (Gowen Field)
MASSACHUSETTS,Boston,BOS,Gen. Edward Lawrence Logan International Airport
TEXAS,Beaumont / Port Arthur,BPT,Jack Brooks Regional Airport (was Southeast Texas Regional)
GEORGIA,Brunswick,BQK,Brunswick Golden Isles Airport
PUERTO RICO,Aguadilla,BQN,Rafael HernÃ¡ndez International Airport
MINNESOTA,Brainerd,BRD,Brainerd Lakes Regional Airport
TEXAS,Brownsville,BRO,Brownsville/South Padre Island International Airport
ALASKA,Barrow,BRW,Wiley Post“Will Rogers Memorial Airport
MONTANA,Butte,BTM,Bert Mooney Airport
LOUISIANA,Baton Rouge,BTR,Baton Rouge Metropolitan Airport (Ryan Field)
VERMONT,Burlington,BTV,Burlington International Airport
NEW YORK,Buffalo,BUF,Buffalo Niagara International Airport
CALIFORNIA,Burbank,BUR,Bob Hope Airport (Hollywood Burbank Airport)
NEVADA,Boulder City,BVU,Boulder City Municipal Airport
MARYLAND,Baltimore / Glen Burnie,BWI,Baltimore/Washington International Thurgood Marshall Airport
MONTANA,Bozeman,BZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport)
SOUTH CAROLINA,Columbia,CAE,Columbia Metropolitan Airport
OHIO,Akron / Canton,CAK,Akron-Canton Regional Airport
UTAH,Cedar City,CDC,Cedar City Regional Airport
ALASKA,Cordova,CDV,Merle K. (Mudhole) Smith Airport
CALIFORNIA,Crescent City,CEC,Del Norte County Airport (Jack McNamara Field)
TENNESSEE,Chattanooga,CHA,Chattanooga Metropolitan Airport (Lovell Field)
VIRGINIA,Charlottesville,CHO,Charlottesville“Albemarle Airport
SOUTH CAROLINA,Charleston,CHS,Charleston International Airport / Charleston AFB
CALIFORNIA,Chico,CIC,Chico Municipal Airport
