"state","city","hotels__name","hotels__image_url","hotels__url","hotels__rating","hotels__location__address1","hotels__location__address2","hotels__location__address3","hotels__location__city","hotels__location__zip_code","hotels__location__country","hotels__location__state","hotels__location__display_address__001","hotels__location__display_address__002","hotels__location__display_address__003"
"New York","New York","Hotel Pennsylvania","https://s3-media4.fl.yelpcdn.com/bphoto/ZdiQLL9Re3eFpq6_UlVebQ/o.jpg","https://www.yelp.com/biz/hotel-pennsylvania-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","1.5","401 7th Ave","","","New York","10001","US","NY","401 7th Ave","New York, NY 10001",""
"","","Hudson Hotel - Central Park","https://s3-media2.fl.yelpcdn.com/bphoto/4XEpnlUBQRO0ZiiTUJO-EQ/o.jpg","https://www.yelp.com/biz/hudson-hotel-central-park-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","358 W 58th St","","","New York","10019","US","NY","358 W 58th St","New York, NY 10019",""
"","","YOTEL New York","https://s3-media1.fl.yelpcdn.com/bphoto/3DSgJKvdSyYJvylw3VnAyA/o.jpg","https://www.yelp.com/biz/yotel-new-york-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","570 Tenth Ave","","","New York","10036","US","NY","570 Tenth Ave","New York, NY 10036",""
"","","New York Marriott Marquis","https://s3-media2.fl.yelpcdn.com/bphoto/3Demjprdbvrk0YGMpbvSUg/o.jpg","https://www.yelp.com/biz/new-york-marriott-marquis-new-york-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1535 Broadway","","","New York","10036","US","NY","1535 Broadway","New York, NY 10036",""
"","","Waldorf Astoria New York","https://s3-media3.fl.yelpcdn.com/bphoto/xHhw_PSjxRT1KigOt_S17A/o.jpg","https://www.yelp.com/biz/waldorf-astoria-new-york-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","301 Park Ave","","","New York","10022","US","NY","301 Park Ave","New York, NY 10022",""
"California","Los Angeles","The Standard, Downtown LA","https://s3-media3.fl.yelpcdn.com/bphoto/MULydc9DuJ2zf5dPHWB9TQ/o.jpg","https://www.yelp.com/biz/the-standard-downtown-la-los-angeles-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","550 S Flower St","","","Los Angeles","90071","US","CA","550 S Flower St","Los Angeles, CA 90071",""
"","","The Westin Bonaventure Hotel & Suites, Los Angeles","https://s3-media4.fl.yelpcdn.com/bphoto/j-QSppIU7KfdJ7vPOc1xww/o.jpg","https://www.yelp.com/biz/the-westin-bonaventure-hotel-and-suites-los-angeles-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","404 S Figueroa St","","","Los Angeles","90071","US","CA","404 S Figueroa St","Los Angeles, CA 90071",""
"","","The Langham Huntington","https://s3-media3.fl.yelpcdn.com/bphoto/_FlQQg90N3nLNhMklSoodg/o.jpg","https://www.yelp.com/biz/the-langham-huntington-pasadena?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1401 S Oak Knoll Ave","","","Pasadena","91106","US","CA","1401 S Oak Knoll Ave","Pasadena, CA 91106",""
"","","The Hollywood Roosevelt","https://s3-media3.fl.yelpcdn.com/bphoto/p2ceVtlmz1uMRbwSVLD_lQ/o.jpg","https://www.yelp.com/biz/the-hollywood-roosevelt-los-angeles-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","7000 Hollywood Blvd","","","Los Angeles","90028","US","CA","7000 Hollywood Blvd","Los Angeles, CA 90028",""
"","","Millennium Biltmore Los Angeles","https://s3-media2.fl.yelpcdn.com/bphoto/fyDkvphmi5-TF-qbPiAJOg/o.jpg","https://www.yelp.com/biz/millennium-biltmore-los-angeles-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","506 S Grand Ave","","","Los Angeles","90071","US","CA","506 S Grand Ave","Los Angeles, CA 90071",""
