"state","surveyResult","landmarks__name","landmarks__image_url","landmarks__url","landmarks__rating","landmarks__location__address1","landmarks__location__address2","landmarks__location__address3","landmarks__location__city","landmarks__location__zip_code","landmarks__location__country","landmarks__location__state","landmarks__location__display_address__001","landmarks__location__display_address__002","landmarks__location__display_address__003"
"New York","New York","Empire State Building","https://s3-media1.fl.yelpcdn.com/bphoto/TR1QO-8mvJefsIucVASREQ/o.jpg","https://www.yelp.com/biz/empire-state-building-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","347 5th Ave","","","New York","10116","US","NY","347 5th Ave","New York, NY 10116",""
"","","Top of the Rock","https://s3-media2.fl.yelpcdn.com/bphoto/Nx0IsyYYmySQldZ-RCkZ5Q/o.jpg","https://www.yelp.com/biz/top-of-the-rock-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","30 Rockefeller Ctr","","","New York","10112","US","NY","30 Rockefeller Ctr","New York, NY 10112",""
"","","Frying Pan","https://s3-media3.fl.yelpcdn.com/bphoto/P5CQww6wy8tTLiXdXJsZ7g/o.jpg","https://www.yelp.com/biz/frying-pan-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Pier 66 Maritime","","","New York","10001","US","NY","Pier 66 Maritime","New York, NY 10001",""
"","","Times Square","https://s3-media3.fl.yelpcdn.com/bphoto/vPojez-jU7GbbFTUoNBu1Q/o.jpg","https://www.yelp.com/biz/times-square-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1 Times Sq","","","New York","10036","US","NY","1 Times Sq","New York, NY 10036",""
"","","Grand Central Terminal","https://s3-media3.fl.yelpcdn.com/bphoto/t9Pl11kD4bs9J3AJRJlHyQ/o.jpg","https://www.yelp.com/biz/grand-central-terminal-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","89 E 42nd St","null","","New York","10017","US","NY","89 E 42nd St","New York, NY 10017",""
"California","Los Angeles","Federal Realty Third Street Promenade","https://s3-media2.fl.yelpcdn.com/bphoto/SbD8zq9nrR3nrxbVXDRWWQ/o.jpg","https://www.yelp.com/biz/federal-realty-third-street-promenade-santa-monica-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","1351 3rd St Promenade","Ste 201","","Santa Monica","90401","US","CA","1351 3rd St Promenade","Ste 201","Santa Monica, CA 90401"
"","","Hollywood Walk of Fame","https://s3-media2.fl.yelpcdn.com/bphoto/h7wgBNL0jUNqtukNvdBzyQ/o.jpg","https://www.yelp.com/biz/hollywood-walk-of-fame-hollywood?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","Hollywood Blvd & Vine St","","","Hollywood","90068","US","CA","Hollywood Blvd & Vine St","Hollywood, CA 90068",""
"","","Hollywood Sign","https://s3-media3.fl.yelpcdn.com/bphoto/6E7U-8aqt9wK0K7QFZXExA/o.jpg","https://www.yelp.com/biz/hollywood-sign-los-angeles-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Griffith Park","","","Los Angeles","90068","US","CA","Griffith Park","Los Angeles, CA 90068",""
"","","Urban Light at LACMA","https://s3-media3.fl.yelpcdn.com/bphoto/CiSaHtZJU_5jtSNUSH3GGg/o.jpg","https://www.yelp.com/biz/urban-light-at-lacma-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","5905 Wilshire Blvd","","","Los Angeles","90036","US","CA","5905 Wilshire Blvd","Los Angeles, CA 90036",""
"","","Santa Monica Stairs","https://s3-media1.fl.yelpcdn.com/bphoto/ID829lOy8nKU6m8oAFJL5w/o.jpg","https://www.yelp.com/biz/santa-monica-stairs-santa-monica?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","4th St & Adelaide Dr","","","Santa Monica","90402","US","CA","4th St & Adelaide Dr","Santa Monica, CA 90402",""
