"state","surveyResult","restaurants__name","restaurants__image_url","restaurants__url","restaurants__rating","restaurants__location__address1","restaurants__location__address2","restaurants__location__address3","restaurants__location__city","restaurants__location__zip_code","restaurants__location__country","restaurants__location__state","restaurants__location__display_address__001","restaurants__location__display_address__002","restaurants__location__display_address__003"
"New York","New York","Katz's Delicatessen","https://s3-media4.fl.yelpcdn.com/bphoto/qr7eSU6CFwRGZ7Rc-QEoTQ/o.jpg","https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","205 E Houston St","","","New York","10003","US","NY","205 E Houston St","New York, NY 10003",""
"","","Ippudo NY","https://s3-media1.fl.yelpcdn.com/bphoto/zF3EgqHCk7zBUwD2B3WTEA/o.jpg","https://www.yelp.com/biz/ippudo-ny-new-york-7?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","65 4th Ave","","","New York","10003","US","NY","65 4th Ave","New York, NY 10003",""
"","","The Halal Guys","https://s3-media1.fl.yelpcdn.com/bphoto/24lb-VP2zVySsY9cq45ETw/o.jpg","https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","W 53rd St 6th Ave","null","","New York","10019","US","NY","W 53rd St 6th Ave","New York, NY 10019",""
"","","Lombardi's Pizza","https://s3-media1.fl.yelpcdn.com/bphoto/XtCyVQ08bShUv8WdK5B-VA/o.jpg","https://www.yelp.com/biz/lombardis-pizza-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","32 Spring St","","","New York","10012","US","NY","32 Spring St","New York, NY 10012",""
"","","Joe's Shanghai","https://s3-media3.fl.yelpcdn.com/bphoto/ekUo5egd4dlE7zJyb4-Leg/o.jpg","https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","9 Pell St","","","New York","10013","US","NY","9 Pell St","New York, NY 10013",""
"California","Los Angeles","Bottega Louie","https://s3-media1.fl.yelpcdn.com/bphoto/rAImnKvUNcNY8i6qEDWrZA/o.jpg","https://www.yelp.com/biz/bottega-louie-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","700 S Grand Ave","null","","Los Angeles","90017","US","CA","700 S Grand Ave","Los Angeles, CA 90017",""
"","","Porto's Bakery & Cafe","https://s3-media3.fl.yelpcdn.com/bphoto/jitrMA1_LZQhEyjt2Am17w/o.jpg","https://www.yelp.com/biz/portos-bakery-and-cafe-burbank?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","3614 West Magnolia Blvd","null","","Burbank","91505","US","CA","3614 West Magnolia Blvd","Burbank, CA 91505",""
"","","Porto's Bakery & Cafe","https://s3-media4.fl.yelpcdn.com/bphoto/ixrkSyziPCVTaCujKzCzEA/o.jpg","https://www.yelp.com/biz/portos-bakery-and-cafe-glendale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","315 N Brand Blvd","","","Glendale","91203","US","CA","315 N Brand Blvd","Glendale, CA 91203",""
"","","Wurstküche","https://s3-media1.fl.yelpcdn.com/bphoto/gWIbvLDR1Y6yfTGTzXp_lw/o.jpg","https://www.yelp.com/biz/wurstk%C3%BCche-los-angeles-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","800 E 3rd St","","","Los Angeles","90013","US","CA","800 E 3rd St","Los Angeles, CA 90013",""
"","","Daikokuya Little Tokyo","https://s3-media2.fl.yelpcdn.com/bphoto/xVh-myQwXTKnCIq8cDPulQ/o.jpg","https://www.yelp.com/biz/daikokuya-little-tokyo-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","327 E 1st St","","","Los Angeles","90012","US","CA","327 E 1st St","Los Angeles, CA 90012",""
