state,city,bars__name,bars__image_url,bars__url,bars__rating,bars__location__address1,bars__location__address2,bars__location__address3,bars__location__city,bars__location__zip_code,bars__location__country,bars__location__state,bars__location__display_address__001,bars__location__display_address__002,bars__location__display_address__003,bars__location__display_address__004,bars__review_count
New York,New York,Buddakan,https://s3-media4.fl.yelpcdn.com/bphoto/Avw19VU35-FZLen3nl9gYw/o.jpg,https://www.yelp.com/biz/buddakan-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,75 9th Ave,null,,New York,10011,US,NY,75 9th Ave,"New York, NY 10011",,,3626
New York,New York,Cafeteria,https://s3-media2.fl.yelpcdn.com/bphoto/OiTQ9rXXOeP6A37CTyUdcA/o.jpg,https://www.yelp.com/biz/cafeteria-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,119 7th Ave,,,New York,10011,US,NY,119 7th Ave,"New York, NY 10011",,,3083
New York,New York,230 Fifth Rooftop Bar,https://s3-media1.fl.yelpcdn.com/bphoto/CO8imSnTNuSe_U8esT6VAw/o.jpg,https://www.yelp.com/biz/230-fifth-rooftop-bar-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3,230 5th Ave,Ste 1018,,New York,10001,US,NY,230 5th Ave,Ste 1018,"New York, NY 10001",,2978
New York,New York,Jane,https://s3-media1.fl.yelpcdn.com/bphoto/Q5yrDsPb-Tb7eFQ5s_UB3w/o.jpg,https://www.yelp.com/biz/jane-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,100 W Houston St,,,New York,10012,US,NY,100 W Houston St,"New York, NY 10012",,,2968
New York,New York,The Spotted Pig,https://s3-media3.fl.yelpcdn.com/bphoto/lnzeyicbLyHIqgHKhtCkMw/o.jpg,https://www.yelp.com/biz/the-spotted-pig-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,314 W 11th St,,,New York,10014,US,NY,314 W 11th St,"New York, NY 10014",,,2842
California,Los Angeles,Perch,https://s3-media1.fl.yelpcdn.com/bphoto/4idfbOrmGGVZ0oeedVkg5g/o.jpg,https://www.yelp.com/biz/perch-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,448 S Hill St,,,Los Angeles,90013,US,CA,448 S Hill St,"Los Angeles, CA 90013",,,6335
California,Los Angeles,Bestia,https://s3-media3.fl.yelpcdn.com/bphoto/U5_ARVxKafWdLapQj8jlcQ/o.jpg,https://www.yelp.com/biz/bestia-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,2121 E 7th Pl,,,Los Angeles,90021,US,CA,2121 E 7th Pl,"Los Angeles, CA 90021",,,5301
California,Los Angeles,Mastro's Penthouse,https://s3-media2.fl.yelpcdn.com/bphoto/-zlW4kdNxHuyD8Rv8VQTMg/o.jpg,https://www.yelp.com/biz/mastros-penthouse-beverly-hills-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,246 N Canon Dr,,,Beverly Hills,90210,US,CA,246 N Canon Dr,"Beverly Hills, CA 90210",,,4511
California,Los Angeles,République,https://s3-media4.fl.yelpcdn.com/bphoto/Xy6oJ25E2QUzw_zsBD-dhA/o.jpg,https://www.yelp.com/biz/r%C3%A9publique-los-angeles-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,624 S La Brea Ave,,,Los Angeles,90036,US,CA,624 S La Brea Ave,"Los Angeles, CA 90036",,,4416
California,Los Angeles,The Morrison,https://s3-media2.fl.yelpcdn.com/bphoto/fNFdhU_I6Iw7J1jM5nVmAw/o.jpg,https://www.yelp.com/biz/the-morrison-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,3179 Los Feliz Blvd,,,Los Angeles,90039,US,CA,3179 Los Feliz Blvd,"Los Angeles, CA 90039",,,3867
Illinois,Chicago,Au Cheval,https://s3-media4.fl.yelpcdn.com/bphoto/a0yhvSJX_6i28iwS9egDFg/o.jpg,https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,800 W Randolph St,,,Chicago,60607,US,IL,800 W Randolph St,"Chicago, IL 60607",,,5784
Illinois,Chicago,Kuma's Corner - Belmont,https://s3-media2.fl.yelpcdn.com/bphoto/_F_LlwOTRnPBma-jhqX-Mg/o.jpg,https://www.yelp.com/biz/kumas-corner-belmont-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,2900 W Belmont Ave,null,,Chicago,60618,US,IL,2900 W Belmont Ave,"Chicago, IL 60618",,,4944
Illinois,Chicago,Quartino Ristorante,https://s3-media4.fl.yelpcdn.com/bphoto/uTY0QtPaluKkLoh29UPvBw/o.jpg,https://www.yelp.com/biz/quartino-ristorante-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,626 N State St,null,,Chicago,60654,US,IL,626 N State St,"Chicago, IL 60654",,,4259
Illinois,Chicago,Big Star,https://s3-media3.fl.yelpcdn.com/bphoto/hE7DmhKd_zWSSTjZ18N-Iw/o.jpg,https://www.yelp.com/biz/big-star-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,1531 N Damen,,,Chicago,60622,US,IL,1531 N Damen,"Chicago, IL 60622",,,3081
Illinois,Chicago,Three Dots and a Dash,https://s3-media4.fl.yelpcdn.com/bphoto/93z5BOe9G_5BpRkqjzRW2A/o.jpg,https://www.yelp.com/biz/three-dots-and-a-dash-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,435 N Clark St,Back alley on Hubbard St,,Chicago,60654,US,IL,435 N Clark St,Back alley on Hubbard St,"Chicago, IL 60654",,2694
Texas,Houston,Hearsay Market Square,https://s3-media1.fl.yelpcdn.com/bphoto/pI-8mjnichCw5taJ3ORFDw/o.jpg,https://www.yelp.com/biz/hearsay-market-square-houston-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,218 Travis St,,,Houston,77002,US,TX,218 Travis St,"Houston, TX 77002",,,1490
Texas,Houston,Taste of Texas,https://s3-media1.fl.yelpcdn.com/bphoto/L38qQjyzPvt53aJ5sTj4sg/o.jpg,https://www.yelp.com/biz/taste-of-texas-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,10505 Katy Fwy,,,Houston,77024,US,TX,10505 Katy Fwy,"Houston, TX 77024",,,1275
Texas,Houston,Oishii,https://s3-media3.fl.yelpcdn.com/bphoto/I24lqpq4IQKiE1hYdniPWg/o.jpg,https://www.yelp.com/biz/oishii-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,3764 Richmond Ave,,,Houston,77046,US,TX,3764 Richmond Ave,"Houston, TX 77046",,,1097
Texas,Houston,benjy's,https://s3-media2.fl.yelpcdn.com/bphoto/33jyVs31bFHQDG8KSReeGQ/o.jpg,https://www.yelp.com/biz/benjys-houston-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,2424 Dunstan Rd,Ste 125,,Houston,77005,US,TX,2424 Dunstan Rd,Ste 125,"Houston, TX 77005",,1037
Texas,Houston,Down House,https://s3-media2.fl.yelpcdn.com/bphoto/XmNqEx3AZeIM5-PikjlCtA/o.jpg,https://www.yelp.com/biz/down-house-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,1801 Yale St,,,Houston,77008,US,TX,1801 Yale St,"Houston, TX 77008",,,1034
Arizona,Phoenix,Rehab Burger Therapy,https://s3-media2.fl.yelpcdn.com/bphoto/ebHtrdYiZiCs2cznJsssYw/o.jpg,https://www.yelp.com/biz/rehab-burger-therapy-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,7210 E 2nd St,,,Scottsdale,85251,US,AZ,7210 E 2nd St,"Scottsdale, AZ 85251",,,2086
