state,city,tours__name,tours__image_url,tours__url,tours__rating,tours__location__address1,tours__location__address2,tours__location__address3,tours__location__city,tours__location__zip_code,tours__location__country,tours__location__state,tours__location__display_address__001,tours__location__display_address__002,tours__location__display_address__003,tours__location__display_address__004,tours__review_count
New York,New York,Circle Line Sightseeing Cruises,https://s3-media4.fl.yelpcdn.com/bphoto/jLD-i3u_CFhoYFiNicOMTA/o.jpg,https://www.yelp.com/biz/circle-line-sightseeing-cruises-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,Pier 83 W 42nd St,,,New York,10036,US,NY,Pier 83 W 42nd St,"New York, NY 10036",,,669
New York,New York,Gray Line New - York Tours,https://s3-media1.fl.yelpcdn.com/bphoto/7TSfTURs3dgGAB4klzSqWg/o.jpg,https://www.yelp.com/biz/gray-line-new-york-tours-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,2,777 8th Ave,null,,New York,10036,US,NY,777 8th Ave,"New York, NY 10036",,,662
New York,New York,Tenement Museum,https://s3-media3.fl.yelpcdn.com/bphoto/BPSW5NV9gzcRX0jinZFhTQ/o.jpg,https://www.yelp.com/biz/tenement-museum-new-york-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,103 Orchard St,,null,New York,10002,US,NY,103 Orchard St,"New York, NY 10002",,,586
New York,New York,Big Bus Tour - New York,https://s3-media1.fl.yelpcdn.com/bphoto/iU2sUm7iFQ08ae4n77t5WA/o.jpg,https://www.yelp.com/biz/big-bus-tour-new-york-new-york?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,2.5,,,,New York,10156,US,NY,"New York, NY 10156",,,,503
New York,New York,Citi Bike,https://s3-media3.fl.yelpcdn.com/bphoto/2w0tPz2CeurpBwmYdIavgw/o.jpg,https://www.yelp.com/biz/citi-bike-new-york-6?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,2.5,5th Ave & 59th St,,,New York,10019,US,NY,5th Ave & 59th St,"New York, NY 10019",,,411
California,Los Angeles,Malibu Wine Safaris,https://s3-media2.fl.yelpcdn.com/bphoto/PP0U66R0vc121edIBwNzBQ/o.jpg,https://www.yelp.com/biz/malibu-wine-safaris-malibu?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,32111 Mulholland Hwy,,,Malibu,90265,US,CA,32111 Mulholland Hwy,"Malibu, CA 90265",,,1884
California,Los Angeles,Warner Bros. Studio Tour Hollywood,https://s3-media1.fl.yelpcdn.com/bphoto/yi0JCAC6H6Kw_mraik_A8A/o.jpg,https://www.yelp.com/biz/warner-bros-studio-tour-hollywood-burbank?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,3400 W Riverside Dr,null,,Burbank,91505,US,CA,3400 W Riverside Dr,"Burbank, CA 91505",,,931
California,Los Angeles,Rose Bowl Stadium,https://s3-media2.fl.yelpcdn.com/bphoto/h6XfJejK96IqBQhQpSoGog/o.jpg,https://www.yelp.com/biz/rose-bowl-stadium-pasadena-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3,1001 Rose Bowl Dr,,,Pasadena,91103,US,CA,1001 Rose Bowl Dr,"Pasadena, CA 91103",,,848
California,Los Angeles,Newport Landing Whale Watching and Sportfishing,https://s3-media1.fl.yelpcdn.com/bphoto/s_9JDNItsY0vArKMewcP9w/o.jpg,https://www.yelp.com/biz/newport-landing-whale-watching-and-sportfishing-newport-beach?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3,309 Palm St,,,Newport Beach,92661,US,CA,309 Palm St,"Newport Beach, CA 92661",,,775
California,Los Angeles,Six Taste,https://s3-media3.fl.yelpcdn.com/bphoto/0ntvz1ED6awDlLyjjk3u2A/o.jpg,https://www.yelp.com/biz/six-taste-los-angeles?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,,,,Los Angeles,90015,US,CA,"Los Angeles, CA 90015",,,,662
Illinois,Chicago,Shoreline Sightseeing,https://s3-media3.fl.yelpcdn.com/bphoto/EmCPtgDIvdzGuY1F7H2h2g/o.jpg,https://www.yelp.com/biz/shoreline-sightseeing-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,600 E Grand Ave,,Navy Pier,Chicago,60611,US,IL,600 E Grand Ave,Navy Pier,"Chicago, IL 60611",,1146
Illinois,Chicago,Wendella Sightseeing Boats,https://s3-media1.fl.yelpcdn.com/bphoto/hnq36brkCc1cITnaLDZfSw/o.jpg,https://www.yelp.com/biz/wendella-sightseeing-boats-chicago?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,400 N Michigan Ave,,,Chicago,60611,US,IL,400 N Michigan Ave,"Chicago, IL 60611",,,871
Illinois,Chicago,Half Acre Beer Company,https://s3-media2.fl.yelpcdn.com/bphoto/yxra3aNgspO5z1annVYdyg/o.jpg,https://www.yelp.com/biz/half-acre-beer-company-chicago-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,4257 N Lincoln Ave,,,Chicago,60618,US,IL,4257 N Lincoln Ave,"Chicago, IL 60618",,,542
Illinois,Chicago,Chicago Architecture Foundation River Cruise - First Lady,https://s3-media2.fl.yelpcdn.com/bphoto/o-ZFrMn2ZGRWLmzbGq7dKA/o.jpg,https://www.yelp.com/biz/chicago-architecture-foundation-river-cruise-first-lady-chicago-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,112 E Wacker Dr,,,Chicago,60601,US,IL,112 E Wacker Dr,"Chicago, IL 60601",,,496
Illinois,Chicago,Bobby's Bike Hike,https://s3-media1.fl.yelpcdn.com/bphoto/4O8jBV9nYf-IPsIfDgwiNQ/o.jpg,https://www.yelp.com/biz/bobbys-bike-hike-chicago-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,540 N Lake Shore Dr,,,Chicago,60611,US,IL,540 N Lake Shore Dr,"Chicago, IL 60611",,,469
Texas,Houston,The Houston Wave,https://s3-media1.fl.yelpcdn.com/bphoto/06v2HlvYuQyYI5NYvr6JAQ/o.jpg,https://www.yelp.com/biz/the-houston-wave-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,1160 W 26th St,null,,Houston,77008,US,TX,1160 W 26th St,"Houston, TX 77008",,,53
Texas,Houston,Segway Tours of Houston,https://s3-media3.fl.yelpcdn.com/bphoto/AYF-bZlfI5jr5Hi9YSL1Tg/o.jpg,https://www.yelp.com/biz/segway-tours-of-houston-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,501 Texas Ave,,,Houston,77002,US,TX,501 Texas Ave,"Houston, TX 77002",,,36
Texas,Houston,Texas Winos,https://s3-media3.fl.yelpcdn.com/bphoto/ndjMC004KfKOjRtNGgcGLA/o.jpg,https://www.yelp.com/biz/texas-winos-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,,,,Houston,77002,US,TX,"Houston, TX 77002",,,,31
Texas,Houston,Bayou City Bike Tours,https://s3-media1.fl.yelpcdn.com/bphoto/q1b-Kwj5-tMoPbZ0T-mdBA/o.jpg,https://www.yelp.com/biz/bayou-city-bike-tours-houston?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,1824 Spring St,null,,Houston,77007,US,TX,1824 Spring St,"Houston, TX 77007",,,29
Texas,Houston,Sam Houston Boat Tour,https://s3-media4.fl.yelpcdn.com/bphoto/yFW3rF_o21b154cbjI6Mbw/o.jpg,https://www.yelp.com/biz/sam-houston-boat-tour-houston-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,7300 Clinton Dr,,Gate 8,Houston,77020,US,TX,7300 Clinton Dr,Gate 8,"Houston, TX 77020",,26
